Image File,Inference Time (s),Memory Usage (MB),Temperature (°C)
24.png,0.3009772300720215,85.953125,66.65
0.jpg,0.3478670120239258,85.953125,67.2
6.png,0.34675002098083496,85.953125,67.75
100.jpg,0.3024439811706543,85.953125,66.1
69.jpg,0.3745155334472656,70.203125,67.75
107.jpg,0.343015193939209,76.703125,67.2
105.jpg,0.509685754776001,84.890625,67.75
74.jpg,0.4880547523498535,76.859375,65.55
116.jpg,0.34736204147338867,76.859375,67.75
31.png,0.2857520580291748,81.359375,65.55
65.jpg,0.36559510231018066,83.359375,67.2
72.jpg,0.34328794479370117,83.359375,67.75
111.jpg,0.3773365020751953,70.796875,67.2
16.png,0.34970521926879883,86.796875,66.65
78.jpg,0.3742794990539551,71.203125,66.65
28.png,0.3124232292175293,82.703125,68.3
49.jpg,0.34696507453918457,87.703125,67.75
15.png,0.3439054489135742,87.703125,67.75
18.png,0.40248990058898926,72.796875,67.75
23.png,0.3416271209716797,76.796875,66.1
66.jpg,0.3235480785369873,84.796875,67.75
71.jpg,0.3417935371398926,86.796875,66.65
79.jpg,0.3436734676361084,86.796875,68.3
90.jpg,0.3198821544647217,86.796875,67.2
26.png,0.2566089630126953,86.796875,67.75
46.jpg,0.34522294998168945,86.796875,66.65
129.jpg,0.34442734718322754,86.796875,67.75
19.png,0.342867374420166,86.796875,66.1
42.jpg,0.3677985668182373,86.796875,67.75
37.png,0.48398685455322266,79.71875,66.65
35.png,0.3388204574584961,77.78125,68.3
102.jpg,0.35842347145080566,82.890625,68.3
127.jpg,0.41642260551452637,81.265625,66.65
114.jpg,0.40692639350891113,81.625,66.65
11.png,0.4976987838745117,83.75,67.75
39.png,0.3019416332244873,84.25,66.65
58.jpg,0.34251832962036133,85.75,67.2
104.jpg,0.3792145252227783,74.375,67.75
56.jpg,0.3570404052734375,76.015625,67.75
121.jpg,0.3274204730987549,87.015625,67.75
87.jpg,0.382035493850708,74.421875,68.3
50.jpg,0.38559508323669434,75.859375,68.3
52.jpg,0.3267333507537842,86.859375,67.75
34.png,0.3140122890472412,86.859375,68.3
20.png,0.5162875652313232,86.21875,67.75
103.jpg,0.3557717800140381,73.21875,66.65
122.jpg,0.32663941383361816,86.71875,68.3
92.jpg,0.35308122634887695,73.53125,67.75
21.png,0.32605957984924316,86.53125,67.75
128.jpg,0.35749101638793945,76.84375,67.2
76.jpg,0.3460276126861572,85.34375,67.2
119.jpg,0.37994837760925293,74.28125,67.75
99.jpg,0.3551616668701172,72.15625,67.2
36.png,0.33110761642456055,91.65625,68.3
54.jpg,0.3472404479980469,62.21875,67.2
89.jpg,0.3625502586364746,73.59375,68.3
123.jpg,0.3590059280395508,73.53125,68.3
110.jpg,0.2471470832824707,76.53125,68.3
